Category,Question,Round
General Knowledge,In which country would you find the islands Santorini and Mikanos? Ans: Greece,2
Spanish,"What is the English equivalent proverb for: cuando en Romaï¿½? Ans: When in Rome, do as the Romans do",2
Geography,Which two elements make up most of the mass of the earth? Ans: Iron and Oxygen,2
Theatre and Cinema,Jody Foster,2
Information Technology,"When coding HTML, which characters indicate the end of a line of text and the beginning of a new line? Ans: backslash and n",2
History,The battle of the Coral Sea was fought during the second world war. During which year was the battle fought? Ans: 1942,2
Mathematics,"Giving your answer in base 6, what is 45 base 6 plus 14 base 6? Ans: 103 base 6",2
Physics,"In Physics, what derived unit is obtained by dividing SI unit for energy by that for electric charge? Ans: Volt",2
Sports,Sugar Ray Robinson,2
Jamaican Heritage,In which Jamaican parish would you find the Y.S. Falls? Ans: St. Elizabeth,2
French,Give the English translation for le pont. Ans: The Bridge,2
Literature,"Which African wrote the novel ""Flowers and Shadows""? Ans: Ben Okri",2
Art,Complete the title of this work done by 17th century artist Sebastian Bombelli: Dove of theï¿½Ans: Holy Spirit,2
Bible Knowledge,Which disciple walked on waterï¿½? Ans: Peter,2
Biology,What is the specific name for an organism which is capable of producing energy aerobicï¿½? Ans: Facultative anaerobe,2
English Language,Give a ten letter verb starting with 'e' which means to write a letter. Ans: Epistolize,2
Local and International Affairs,Tenzin Gyatso (the 14th Dalai Lama),2
Chemistry,What name is given to a form of an element that has a different isotopic composition compared with the naturally occuring form? Ans: Alomer,2
Music,Ray Charles,2
General Knowledge,Adidas and Volkes Wagon companies are headquartered in which country? Ans: Germany,2
Spanish,What is the English equivalent proverb for: una manzanaï¿½? Ans: An apple a day keeps the doctor away,2
Geography,What is the approximate distance between Kingston and Montego Bay in miles measured directly or as the crow flies? Ans: 80 to 90 miles,2
Theatre and Cinema,Julia Roberts,2
Information Technology,What is the abbreviation for abnormal end? Ans: Abend,2
History,The battle of Britain took place during which war? Ans: WWII,2
Mathematics,What is the cosine of 60 degrees in surd form? Ans: 1/2,2
Physics,A 1200kg car is travelling at a speed of 30m/s. How much energy is dissipated by the brakes in bringing this car to a stop? Ans: 540000J,2
Sports,Willy Pep,2
Jamaican Heritage,In which Jamaican parish would you find the Reach Falls? Ans: Portland,2
French,What does the verb d'anticiper mean? Ans: To anticipate,2
Literature,"Which West Indian wrote the novel ""The Wounded and theï¿½""? Ans: Edgar Mittlehozer",2
Art,"Which artist painted the work ""Four Pomegranates"", which is housed at the National Gallery? Ans: Hope Brooks",2
Bible Knowledge,Which prophet caused an Iron Axe head to float? Ans: Elisha,2
Bible Knowledge,In which book of the bible do Peter and John heal a lame man at the gate Beautiful? Ans: Acts of the Apostles,2
Biology,Amylases in saliva begin the breakdown of carbohydrates into what? Ans: simple sugars,2
English Language,Give a six letter adjective starting with 'p' which means measley or worthless. Ans: Paltry,2
Local and International Affairs,Helmot Cole (former German Chancellor),2
Chemistry,"What is the atomic number and symbol for the element Protactinium? Ans: 91, Pa",2
Music,Stand by me,2
General Knowledge,In what country is the Chinchin Hitza located? Ans: Mexico,2
Spanish,Give an English idiomatic expression similar in meaning to the Spanish: No se gano samora en una hora. Ans: Rome was not built in a day,2
Geography,What is the capital of the Falkland Islands? Ans: Stanley,2
Theatre and Cinema,Zach Wolrig,2
Information Technology,What service acts as an extension to Microsoft's OLE and COM technologies using Applications and on the Internet? Ans: Active X,2
History,"In the Animated Movie Despicable me 2, who plays the role of Grue? Ans: Steve Carrel",2
Mathematics,Factorize the expression: x2-x-30. Ans: (x-6)(x+5),2
Physics,What is the name for the dissipation of vibration energy into heat energy? Ans: Damping,2
Sports,Marlon Samuels,2
Jamaican Heritage,Complete the first line of the Jamaican folksong: Before mi married Anï¿½Ans: Go hug up Mango tree,2
French,Give the English equivalent for: Le premier ministre aime les pommes. Ans: The Prime Minister loves apples,2
Literature,"Who is the author of the novel ""On the road""? Ans: Jacques Kerouac",2
Art,What term starting with 'b' means extravagant and was applied to a style in Art and Architecture developed in Europe in the early 17th to mid 18th century? Ans: Baroque,2
Bible Knowledge,In which book of the bible is the quotation: A man who finds a wife finds a good thing? Ans: Proverbs,2
Biology,What is the name given to a human embryo after 8 weeks of development? Ans: Foetus,2
English Language,Spellï¿½,2
Bible Knowledge,According to the King James version: what are the first five words in the bible? Ans: In the beginning God created,2
Biology,What is the name given to the removal of undigested food from the intestine? Ans: Egestion,2
English Language,Spell the word EMBARRASS,2
Local and International Affairs,John Turner (former Canadian PM),2
Chemistry,"What is the atomic number and symbol of the element Einsteinium? Ans: 99, Es",2
Music,Nina Simone,2
General Knowledge,In what European city is the St. Bazels Cathedral located? Ans: Moscow,2
Spanish,Give an English idiomatic expression similar in meaning to Andarse por las ramas. Ans: To beat around the bush,2
Geography,What is the capital of the Mali islands? Ans: Bamako,2
Theatre and Cinema,Daniel Giles,2
Information Technology,What does VLAN stand for? Ans: Virtual Local Area Network,2
History,"Give the exact date of the German Reunification. Ans: October 3, 1990",2
Mathematics,What are the factors of the expression: x2+11x+30? Ans: (x+5)(x+6),2
Physics,What is the name for the production of an electric field by a change in Magnetic field? Ans: Electromagnetic induction,2
Sports,Chris Gayle,2
Jamaican Heritage,Complete the first line of this Jamaican folksong: A weh yo ben de galï¿½Ans: Mek mi nuh get no tea,2
French,What does Je suis dï¿½solï¿½ mean? Ans: I'm sorry,2
Literature,"Which Caribbean author wrote the novel ""Wide Sargaso sea""? Ans: Jean Rhys",2
Art,What name is given to the wax resist dying technique that is often used to make highly patterned cloth? Ans: Batik,2
Bible Knowledge,Which King said he would chastize his people with scorpions for whips? Ans: Rehoboam,2
Biology,The glomerulus is a bunch of capillaries in the blood supply of which organ? Ans: Kidney,2
English Language,Give a six letter noun starting with 'm' which means a talisman or goodluck charm. Ans: Mascot,2
Bible Knowledge,"In the story of the creation, on what day did God create plants over the land? Ans: Third",2
Biology,The coelemic fluid flows up the body cavity of which creature? Ans: Earthworm,2
English Language,Spell CHIVALRY,2
Local and International Affairs,Joseph Stalin (former Soviet leader),2
Chemistry,"In a titration, what is the colour change of phenolphthalein from alkaline to acid? Ans: Pink to colourless",2
Music,New flame,2
General Knowledge,What is the capital of the Australian state of Tasmania? Ans: Hobart,2
Spanish,What is the English translation for: Vamos a la Inglesia en Sabado? Ans: Let's go to church on Saturday,2
Geography,Which type of clouds literally means resembling heaps? Ans: Cumulus,2
Theatre and Cinema,Steven R. McQueen,2
Information Technology,"In Information technology, what does the abbreviation MMS stand for? Ans: Multimedia Messaging Service",2
History,In which year did the Apartheid policy begin in South Africa? Ans: 1948,2
Mathematics,"3p-q=10, what is p? Ans: 4",2
Physics,Who discovered the Thermocouple effect? Ans: Thomas Seabeck,2
Sports,Darren Sammy,2
Jamaican Heritage,In which Jamaican parish is the Annual Denbigh Agriculture show held? Ans: Clarendon,2
French,Give the English equivalent phrase for: ï¿½tre ou ne pas ï¿½tre. Ans: To be or not to be,2
Literature,"Which Caribbean author wrote the novel ""A House for Mr. Biswas""? Ans: V.S. Naipaul",2
Art,"Which German School of Art, design and architecture was founded in 1919 by Walter Gropius? Ans: The Bauhouse",2
Bible Knowledge,In which book of the bible is the vision of Seventy Wheats? Ans: Daniel,2
Biology,What is the name for the interaction of living and non-living things in a physical environment? Ans: Ecosystem,2
English Language,Give a seven letter noun starting with 'b' which means ï¿½,2
Bible Knowledge,In which book of the bible is the quotation: No weapon that is formed against thee shall prosper? Ans: Isaiah,2
Biology,What is the name for the auditory ossicle in the middle ear which is attached to the incus at one end and the timpanum at the other? Ans: Stirrup,2
English Language,Spell STUPEFY,2
Local and International Affairs,Kofi Annan (former UN Secretary General),2
Chemistry,What is another name for Valearic acid? Ans: Pentanoic acid,2
Music,Lionel Richie (Hello),2
General Knowledge,What is the capital of the Australian state of Queensland? Ans: Brisbane,2
Spanish,Which relation is la nieta? Ans: granddaughter,2
Geography,The name for which type of clouds literally means resembling fibres? Ans: Cirrus,2
Theatre and Cinema,Gabriel Mann,2
Information Technology,"What is defined as a systematically arranged collection of lists in a computer, structured so that it can be easily retrieved or manipulated? Ans: Database",2
History,In what month and year did Jamaica hold its first General elections under Universal Adult Suffrage? Ans: December 1944,2
Mathematics,Express 444.503 to three significant figures. Ans: 445,2
Physics,"Does a temperature rise cause the resistance of a metal oxide thermistor to increase, decrease or remain constant? Ans: decrease",2
Sports,Denesh Ramdin,2
Jamaican Heritage,Complete the Jamaican proverb: nuh buy pussï¿½Ans: inna bag,2
French,What does the phrase: ï¿½ demain mean? Ans: See you tomorrow,2
Literature,"Who wrote the book ""The lost world""? Ans: Sir Arthur Conan Doyle",2
Art,Which Art movement originating in Europe in the 18th century emphasized intense emotion as an authentic source of aesthetic experience? Ans: Romanticism,2
Bible Knowledge,How many daughters did Phillip the Evangelist have? Ans: 4,2
Biology,What is the scientific name for that phase of the heartbeat in which the heart is contracting and forcing blood out? Ans: Systole,2
Bible Knowledge,"She had children but she mercilessly taunted Hannah who did not, who was she? Ans: Peninah",2
Biology,What is the name for the temporary endocrine structure in female mammals that is involved in the production of relatively high levels of progesterone? Ans: Corpus Luteum,2
English Language,Form an adverb from ability. Ans: Ably,2
Local and International Affairs,Marcus Garvey,2
Chemistry,What is the formula for the sulfite ion? Ans: SO32-,2
Music,Billy Paul (Mrs. Jones),2
General Knowledge,The Kariba dam lies across the Zambisi river on the border between which two countries? Ans: Zambia and Zimbabwe,2
Spanish,Which article of clothing is la falda? Ans: The skirt,2
Geography,Huaskaran is the Highest point of which South American country? Ans: Peru,2
Theatre and Cinema,Nick Welshire,2
Information Technology,"The ACM is an international society that is the umbrella organization for the scholarly study of computing in the United States, what does ACM stand for? Ans: Association of Computing Machinery",2
History,What was the name of the hurricane which caused significant damage in Jamaica in 1963? Ans: Flora,2
Mathematics,What is 14 squared plus 20 squared? Ans: 596,2
Physics,"If Potential difference is the electrical analogue of hydrostatic pressure, what is the specific fluid analogue of electrical current? Ans: Volume flow rate",2
Sports,Vernon Filander,2
Jamaican Heritage,Complete the Jamaican proverb: Wilful waste bringsï¿½Ans: woeful wants,2
Literature,"Which West Indian author wrote the book ""Moscow is not my Mecca""? Ans: Jan Carew",2
Art,"What is the name given to coloured dots generally in four colours: cyan, magenta, yellow and black used to create shading and secondary colours in the mechanically reproduction of images? Ans: Bendae dots",2
Bible Knowledge,Which King lay all night on the ground when his son was sick? Ans: David,2
Biology,What is the biological term for organisms which have both male and female parts? Ans: Hermaphrodites,2
Bible Knowledge,Who asked: Is there any taste in the white of an egg? Ans: Job,2
Biology,"Inch plant is one of the two common names for the species of spiderwort with scientific name Zebrina pendula, what is the other? Ans: Wandering Jew",2
English Language,Give a twelve letter adjective starting with'c' which means bad-tempered or irritable. Ans: Cantankerous,2
Local and International Affairs,Oscar Haria Sanchez (former president of Costa Rica),2
Chemistry,Which organic acid is responsible for the rancid smell of butter? Ans: butanoic acid,2
Music,Hela Henderson (I keep going to the river to pray),2
General Knowledge,"The Louvre, one of the world's largest museums is located in France on the right bank of which river? Ans: Seine",2
Spanish,What is the English translation for the Spanish expression: A ultima hora? Ans: At the last moment,2
Geography,In which parish in Jamaica is the Smokey Hole cave? Ans: Manchester,2
Theatre and Cinema,Ian Harding,2
Information Technology,What is the more popular name for a digital video camera on a computer? Ans: Webcam,2
History,"During the 1989 to 1990 military invasion dubbed operation Just Cause, which country did the United States invade? Ans: Panama",2
Mathematics,Simplify the ratio 125: 750 in its lowest terms. Ans: 1:6,2
Physics,"The density of a metal is 5.5 g/cm3, what is the mass of 7cm3 of the same metal? Ans: 38.5g",2
Sports,Kadeja Williams,2
Jamaican Heritage,"In the Jamaican folksong Linstead Market, on which dayï¿½? Ans: Saturday",2
Bible Knowledge,"After Jesus rose from the dead, how many apostles did he meet on the road to theï¿½? Ans: 2",2
Biology,What peptide hormone that regulates the endocrine system is also known as growth hormoneï¿½? Ans: ,2
English Language,Form an adverb from generous. Ans: Generously,2
Local and International Affairs,Paul Keting (former PM of Australia),2
Chemistry,AgClO4 is the formula for which substance? Ans: Silver per chlorate,2
Music,Helly Golding,2
General Knowledge,Which British Prime Minister won the Nobel Prize for literature in 1953? Ans: Winston Churchill,2
Spanish,What article of clothing is los calï¿½..? Ans: underwear or underpants,2
Geography,In what African country can the Table mountain be found? Ans: South Africa,2
Theatre and Cinema,Tony Holler,2
Information Technology,The acronym WORA is sometimes used to describe a type of computer programme. What does it stand for? Ans: Write Once Run Anywhere,2
History,In what year did the Alaskan state gainï¿½? Ans: 1959,2
Mathematics,What is 15 squared minus 3 squared? Ans: 216,2
Physics,What is the name given to the rate of change of angular momentum? Ans: torque,2
Sports,Sasha-Gaye Henry,2
Jamaican Heritage,"The Jamaican folksong 1, 2, 3, 4 Colon Man a come refers to the returning of Jamaicans from which overseas project? Ans: Building of the Panama Canal",2
French,Translate to English: Je ne veux pas parler avec vous. Ans: I don't want to speak with you,2
Literature,Complete the name of this 1983 short horrow novel by Stephen King: Cycle ofï¿½Ans: the Weir Wolf,2
Bible Knowledge,Which prophet was so in awe of God that he said: Woe is me I am undone. I am a man of unclean lips and I dwellï¿½? Ans: Isaiah,2
Biology,What is the meaning of the botanical term Acarpus? Ans: Unable to produce fruit,2
English Language,"By adding a prefix, give the opposite of the word noble. Ans: Ignoble",2
Local and International Affairs,Pervez Musharav (former Pakistani President),2
Chemistry,Which element has the atomic number 65? Ans: Terbium,2
Music,One Direction (Group),2
General Knowledge,The Hindu Kush Mountain range lies mainly in which two countries? Ans: Afghanistan and Pakistan,2
Spanish,Which day is el domingo? Ans: Sunday,2
Geography,What is the name for lines on a map joining places receiving the same amount of rainfall on a givenï¿½? Ans: Isoyels,2
Theatre and Cinema,Kegan Allen,2
Information Technology,In which year was the google search engine originallyï¿½? Ans: 1997,2
History,The 1998-99 Kosovo war was fought between NATO and which European Nation at the time? Ans: Yugoslavia,2
Mathematics,What is Tan 30 degrees in surd form? Ans; 1 over root 3,2
Physics,What is Planck's constant correct to 3 decimal places? Ans: 6.626 x 10-34 J.s,2
Sports,Paula Thompson,2
Jamaican Heritage,Complete this line from Jamaica's National anthem: Knowledge send us heavenly fatherï¿½Ans: Grant true wisdom from above,2
French,Which place is la cuisine? Ans: the Kitchen,2
Literature,"Which West Indian author wrote the book ""A touch of Midas""? Ans: Jan Carew",2
Art,What component of paint starting with 'b' ï¿½.? Ans :Binder,2
Bible Knowledge,Which New Testament book is a letter written to a lady? Ans: II John,2
Biology,"State any one of the effects of the secretion of the hormone angiotensin. Ans:  Vasoconstriction, elevation of blood pressure or release of aldosterone",2
English Language,Spell the word PICKWICKIAN,2
Local and International Affairs,Who is the General Secretary for the National Workers Union in Jamaica? Ans: Granville Valentine,2
Bible Knowledge,"According to first Kings 19, who was Elijah told to annoint as Kingï¿½? Ans: Jehu",2
Biology,What is the meaning of the botanical term Aphylus? Ans: without leaves,2
English Language,"Does the word vagrant mean sweet-smelling, homeless or troubled? Ans: homeless",2
Local and International Affairs,Raul Castro,2
Chemistry,To what group of the periodic table do alkaline earth metals belong? Ans: 2,2
Music,Neyo,2
General Knowledge,What is the height of the highest peak in the Hindu Kush mountain range to the nearest hundred meters? Ans: 7700m,2
Spanish,What is the Spanish translation for the expression: el menos? Ans: at least,2
Geography,What are the imaginary lines below the surface of the earth connecting points of equal temperature called? Ans: Isogeotherms,2
Theatre and Cinema,Matthew Davis,2
Information Technology,What is the name for the number of useful information bits delivered by a network to a certain destination per unit of time? Ans: Good put,2
History,Which structure was officially referred to as the anti-fascist protection rampart? Ans: The Berlin Wall,2
Mathematics,What is the cosine of 45 degrees in surd form? Ans: root 2 over 2,2
Physics,What is the SI unit of torque? Ans: Newton meter,2
Sports,Nicole Aiken Pinnock,2
Jamaican Heritage,What is the name of the town that was found in 1739ï¿½? Ans: Accompong,2
French,Translate to English: la salle de bain. Ans: the Bathroom,2
Literature,"Which West Indian authored the poem ""If we must die""? Ans: Claude Mckay",2
Art,What name starting with 'b' is given to a heavy fabricï¿½? Ans: Brocade,2
Bible Knowledge,In which book of the bible is it said that it is better to live on the roof  than inside of a house with a quarelsome woman? Ans: Proverbs,2
Biology,What is another name for morphogenesis which is the developmental course of an organism from fertilized egg to maturity? Ans: Ontogeny,2
Bible Knowledge,What was the name of Jacob's daughter? Ans: Dinah,2
Biology,What is the name given to the interaction of living things and non-living things in a physical environment? Ans: Ecosystem,2
English Language,Which figure of speech is used in this sentence: Fred's friends fried fritters for him last Thursday? Ans: Alliteration,2
Local and International Affairs,Robert Kennedy (former US presidential candidate),2
Chemistry,What is the name given to the elements in the periodic table between 90 and 103? Ans: Actinides,2
Music,Kelly Clarkson (Been so long),2
General Knowledge,What is the densest planet in the solar system? Ans: Earth,2
Spanish,What is the English equivalent for the professional el contador? Ans: the Accountant,2
Geography,What name is given to a man-made waterway used for transportation and irrigation? Ans: Canal,2
Theatre and Cinema,Luke Hemsworth,2
Information Technology,What is the name for the rate of successful message delivery over a communication channel? Ans: Through put,2
History,What was the name of the man who appointed Adolf Hitler as German Chancellor? Ans: Paul Von Hindenberg,2
Mathematics,What is the sum of 14.86 and 22.93? Ans: 37.79,2
Physics,What is the SI unit of surface tension? Ans: Newton per meter,2
Sports,Malysha Kelly,2
Jamaican Heritage,Complete the Jamaican proverb: Weh eye nuh siï¿½Ans: heart nuh leap,2
French,What kind of shop is la boulangerie? Ans: Bakery,2
Literature,"Which West Indian wrote the book ""An absence of ruins""? Ans: Orlando Patterson",2
Art,What is the name for the manner in which a painter applies paint with a brush? Ans: Brush work,2
Bible Knowledge,Which woman in silent prayer was thought by a priest to be intoxicated? Ans: Hannah,2
Biology,What is the name for the yellow colour photosynthetic pigments? Ans: Xanthophyll,2
English Language,Give a ten letter adjective starting with 't' which means producing darkness. Ans: tenebrific,2
Local and International Affairs,"Who was the latest elected Mayor of Portmore, St. Catherine in Jamaica? Ans: Leon Thomas",2
Bible Knowledge,"In the book of Revelation, of which of the seven churches of Asia was it said that they dwell where Satan's seat was? Ans: Pergamus",3
Biology,Zoonosis is the name given for infections which are transmitted in what way? Ans: From animals to humans,3
English Language,Give this sentence in the second person perfect in the present tense plural: I bought the furniture from that store. Ans: You have bought the furniture from those stores,3
Local and International Affairs,Ronald Reagan,3
Chemistry,What is the valency of the sulphate radical in the compound sulfuric acid? Ans: 2,3
Music,Joe Jonas (People living that strange),3
General Knowledge,Mark David Chapman gained notoriety for the murder of which famous musician? Ans: John Lennon,3
Spanish,Translate to English: porque esta siendo una mentira. Ans: Why are you telling a lie,3
Geography,"What name is given to the boundary at which two air masses meet, each having contrasting features? Ans: Front",3
Theatre and Cinema,Steven Strate,3
Information Technology,What extension would be given to a file in the virtual instrument file format? Ans: Dot VI or VI,3
History,"Prior to January 1988, who was the longest continuously serving Prime Minister of the United Kingdom in the 20th Century? Ans: Herbert Asquith (1908 to 1916)",3
Mathematics,What is the sum of 45.19 and 6.98? Ans: 52.17,3
Physics,What is the SI unit for electric charge? Ans: Coulomb,3
Sports,Romelda Aiken,3
Jamaican Heritage,In which parish is the Knockalva Technical High School? Ans: Hanover,3
French,Give the English equivalent for: Je veux regarder un film. Ans: I want to watch a movie,3
Literature,Which 1928 novel by Aldous Huxley tells the story about Walter who has an affair with a married woman? Ans: Point counter point,3
Art,What eleven letter word starting with 'c' is the term used for a type of decorative hand writing or lettering? Ans: Caligraphy,3
Bible Knowledge,Which prophet had a name which means God will strengthen him? Ans: Ezekiel,3
Bible Knowledge,How many men in the Old Testament had the name Jehosaphat? Ans: 5,3
Biology,What is the name given to the type of lymphocyte in the humoral immunity of the adaptive immune system? Ans:  B-cell,3
English Language,Identify the adjective in this sentence: Juan handled the breakable glasses himself. Ans: Breakable,3
Local and International Affairs,Richard Nixon,3
Chemistry,"Which has the lowest density: steel, lead or copper? Ans: Steel",3
Music,Nicki Minaj,3
General Knowledge,"In Greek mythology, Apollo was the son of Zeus and whom? Ans: Leto",3
Spanish,Give the English equivalent for: ve dilo en le montana. Ans: Go tell it on the Mountain,3
Geography,"Lisbon the capital city of Portugal, lies in the Western Hiberian Peninsular on the Atlantic ocean and which River? Ans: Tagus",3
Theatre and Cinema,Kelen Lutz,3
Information Technology,"In the programming world, what does the abbreviation ABAP stand for? Ans: Advanced Business Application Programming",3
History,Give the name of the 1970 Caribbean Maritime Disaster that occurred between the islands of St. Kitts and Nevis. Ans: Christina Disaster,3
Mathematics,What is the value of sin squared 60 degrees? Ans: 3/4,3
Physics,What SI unit is derived from dividing work done by distance? Ans: Newton,3
Sports,Janelle Fowler Reid,3
Jamaican Heritage,Kudjoe and his sister Nanny were from which tribe in West Africa? Ans: Ashanti,3
French,What is the English translation for: Je vais ï¿½ la boutique? Ans: I'm going to the shop,3
Literature,Which novel by Ernest Hemmingway is about a group of American and British expatriats who travel from Paris to the festival of San Fermin in Pamplona to watch the running of the Bulls and the Bull fight? Ans: The sun also rises,3
Art,What is another name given to the cotton or linen fabric that is used as a surface for painting? Ans: Canvas,3
Bible Knowledge,How many Spies did the two leaders Moses and later Joshua send into Canan respectively? Ans: 12 and 2,3
Biology,Which specific organ of the body sits on the ,3
Bible Knowledge,The King James version of which book of the bible begins with these words: Now in the first year of Cyrus King of Persia? Ans: Ezra,3
Biology,"The condition Schistosomiasis has a more common name, what is it? Ans: Snail fever",3
English Language,Identify the adjectives in this sentence: Matthew is smart so he left the Friday Party early. Ans: Friday and smart,3
Local and International Affairs,Saddam Hussein,3
Chemistry,"To the nearest whole number, what is the relative atomic mass of the element Osmium? Ans: 190",3
Music,Haile Williams,3
General Knowledge,Give the term that describes the 1929 event that precipitated the Great Depression in the United States. Ans: Wall Street crash or Black Thursday,3
Spanish,What is the English translation for: la ventana esta cerada? Ans: The window is closed,3
Geography,The city of Dukan is the centre of oil production in which Middle Eastern country? Ans: Qatar,3
Theatre and Cinema,David Lyons,3
Information Technology,ACT is a set of freely downloadable program utilities and related documents from Microsoft. What does ACT stand for? Ans: Application Compatibility Tool kit,3
History,Who was the first female Prime Minister of Israel? Ans: Golda Meir,3
Mathematics,What is the value of cosine squared 30 degrees? Ans: 3/4,3
Physics,"A battery of 40 V is connected to a series arrangement of 5 ohm, 3 ohm and 2 ohm resistors. What is the magnitude of the flow of the current? Ans: 4A",3
Sports,Shanice Beckford,3
Jamaican Heritage,Who was the Prime Minister of Jamaica when Walter Rodney was barred from re-entering Jamaica? Ans: Hugh Shearer,3
French,Give the English translation for: Elle est enceinte de triplï¿½s. Ans: She's pregnant with triplets,3
Literature,"Which West Indian wrote the novel ""At the bottom of the river""? Ans: Jamaica Kincaid",3
Art,What is the name given to a rendering usually a drawing of a person or thing with exaggerated or distorted features meant to sattirize the subject? Ans: Caricature,3
Bible Knowledge,What was the name of the person who suggested to Moses that he  should delegate some of his responsibilitiesï¿½? Ans: Jethro,3
Biology,The three auditory ossicles form a mechanical amplifier which increases the amplitude of sound vibration between the eardrum and oval window. What is the multiplying factor of this amplifier on average? Ans:  20,3
English Language,According to the English proverb: Who calls the tunes? Ans: He who pays the piper,3
Local and International Affairs,Silvio Berlusconi (former Italian PM),3
Chemistry,Chains (song title),3
Music,Lymnology is the study of what? Ans: Lakes and pond life,3
General Knowledge,Give the English translation for: la herida. Ans: the wound,3
Spanish,In which country would you find the Mamberamo river? Ans: Indonesia,3
Geography,Benjamin Stone,3
Theatre and Cinema,What type of processor (Manufacturer and model name) in the new Samsung Galaxy S-6? Ans: Samsung Xinos,3
Information Technology,Which country is said to have had the forgotten war or the Unknown war? Ans: Korea,3
History,What is the sum of the prime numbers between 40 and 50? Ans: 131,3
Mathematics,An electric motor uses 60 J of energy to lift a mass of 2kg a vertical distance of 1.5m. What is the percentage efficiency of the machine? Ans: 50%,3
Physics,Paula Thompson,3
Jamaican Heritage,Which St. Catherine settlement was named in honour of how Peterï¿½.? Ans: Sligoville,3
Jamaican Heritage,What is the English translation of la vitesse? Ans: Speed,3
Literature,Who wrote the Adventure novel Kim? Ans: Rudyard Kipling,3
Art,What name is given to the print making technique that transfers an image to a light weight paper that is bonded to a heavier surface? Ans: Chincoloib,3
Bible Knowledge,"In the bible, which woman threatened to kill Elijah after heï¿½? Ans: Jezebel",3
Biology,How many pairs of cranial nerves are there in humans? Ans: 12,3
English Language,According to the English proverb: What never won a fair lady? Ans: Faint heart,3
Local and International Affairs,Theodore Roosevelt,3
Chemistry,What chemical substance is often referred to as Pearl White? Ans: Bismuth Nitrate,3
Music,Steal my girl (title),3
General Knowledge,What is the main activity of a philatelist? Ans: Stamp collecting,3
Spanish,What are los cuernos? Ans: the horns,3
Geography,In which country would you find the Malwau Plateau? Ans: India,3
Information Technology,What is the confectionary theme codename of the version of the android operating system pre-installed on the Samsung Galaxy S-5? Ans: Kit Cat,3
History,Give the first and last name of the Florentine explorer after whom America was named. Ans: Amerigo Vespucci,3
Mathematics,What is the sum of the prime numbers between 20 and 30? Ans: 52,3
Physics,A lamp of resistance 200 ohms is connected across a main supply of 25 volts. What is the current drawn drawn by the lamp? Ans: 1/8 A,3
Sports,Shanice Beckford,3
Jamaican Heritage,Who was the acting Governor General who swore in Sir Florizel Glaspole as the third Governor General of Independent Jamaica in 1972? Ans: Sir Herbert Dufus,3
French,What is la longue? Ans: length,3
Literature,Which West Indian wrote the work entitled Poems of Success? Ans: Martin Carter,3
Art,The 1945 painting Spider's Webb was created by which Jamaican artist? Ans: John Dunkley,3
Bible Knowledge,Which two gospels give the geneology of Jesus? Ans: Matthew and Luke,3
Bible Knowledge,Who raised his young cousin as his own daughter until she became a Queen? Ans: Mordecai,3
Biology,What is the site of all metabolic functions and activities of the animal cell? Ans: Cytoplasm,3
English Language,"Which of the following verbs is auxillary: to wait, to do, to complete? Ans: To do",3
Local and International Affairs,Flag of Cambodia,3
Chemistry,"In one form of galvanizing, steel plates are immersed in a bath of liquid metal in order to produce a corrosion resistant layer on the steel surface. Name the metal. Ans: Zinc",3
Music,I really like you (title),3
General Knowledge,On which Japanese island is Nagasaki? Ans: Kyushu,3
Spanish,What is the English translation for: puedo soy viejo perro soy hermosa? Ans: I maybe old but I'm beautiful,3
Geography,Which island is 64km west of Hong Kong? Ans: Macau,3
Theatre and Cinema,Alison Williams,3
Information Technology,What name is used to describe a means of access to a computer program that bypasses security mechanisms? Ans: Back door,3
History,"This private militia operated during the 1970s under the leadership of Sir Eric Gairy, name it. Ans: Mongoose Gang",3
Mathematics,"To two decimal places, what is the value of Tan minus 60 degrees? Ans: -0.32",3
Physics,What is the SI unit of Irradiance? Ans: Watt per square meter,3
Sports,Dremond Greene,3
Jamaican Heritage,"Name one of the Heritage structures located at Sam Sharp Square. Ans: Sam Sharp Monument, the Cage, the Montego Bay Cultural Centre, Freedom Monument or the Fountain",3
French,What does the verb humilier mean? Ans: to humiliate,3
Literature,"Who wrote the Pulitzer Prize winning novel ""A thousand acres""? Ans: Jane Smiley",3
Art,What seven letter word starting with 'c' is used to represent the outline of something? Ans: Contour,3
Bible Knowledge,Which preacher did Paul commend for having the same faith his mother had? Ans: Timothy,3
Bible Knowledge,The name of which of the original twelve disciples heads every listing of the apostles of the new Testament? Ans: Peter,3
Biology,"In the human eye, what controls how much light passes through the pupil? Ans: Iris",3
English Language,"Does the word pusilanimous mean brave, cowardly or pretty? Ans: Cowardly",3
Local and International Affairs,Flag of Cape Verde,3
Chemistry,What are the products of the hydrolysizing reaction between ethanamide and dilute hydrochloric acid? Ans: ethanoic acid and ammonium chloride,3
Music,Take your time (title),3
General Knowledge,The Knesset is the name of the Parliament in which country? Ans: Israel,3
Spanish,How much is noventa y nueve? Ans: 99,3
Geography,In which parish in Jamaica is the Swift river? Ans: Portland,3
Theatre and Cinema,Yvonne Strapovski,3
Information Technology,What is the name for the ability to access an item of data at any given coordinate? Ans: Random access,3
History,The Centaur of the Savanahs was a name given to which Haitian revolutionary leader? Ans: Toussaint L'Overature,3
